日期,Alyssa__消息数,明天不散步_消息数,Alyssa__情感分bert,明天不散步_情感分bert,Alyssa__平均反应秒数,明天不散步_平均反应秒数,Alyssa__平均情感分,明天不散步_平均情感分
2025-07-09 00:00:00,259,192,0.390772201,0.461171096,56.28431373,61.23300971,0.516533476,0.549774146
2025-07-10 00:00:00,292,267,0.371591561,0.449537914,209.359375,61.6171875,0.536780946,0.575101935
2025-07-11 00:00:00,220,138,0.396198702,0.410904436,348.0909091,117.3076923,0.540402073,0.522296979
2025-07-12 00:00:00,196,159,0.359428038,0.444595591,280.4878049,172.7682927,0.560181272,0.550387671
2025-07-13 00:00:00,325,268,0.422705921,0.481106182,194.328125,123.3769231,0.544737494,0.554953937
2025-07-14 00:00:00,183,152,0.353502,0.417287228,195.9864865,303.9324324,0.533035399,0.503114078
2025-07-15 00:00:00,152,163,0.430123665,0.46704199,243.7971014,98.63768116,0.558542265,0.54578537
2025-07-16 00:00:00,252,273,0.305495731,0.44505983,138.8359375,105.3538462,0.500692855,0.593891236
2025-07-17 00:00:00,347,321,0.401653426,0.449476543,137.618705,102.7266187,0.570868927,0.562310613
2025-07-18 00:00:00,134,101,0.433329943,0.480576657,464.3846154,105.7115385,0.506685339,0.57046108
2025-07-19 00:00:00,125,122,0.42566081,0.491816886,427.2790698,544.8409091,0.56478009,0.630374529
2025-07-20 00:00:00,127,121,0.366507267,0.420822327,129.5245902,313.8709677,0.466629893,0.545173809
2025-07-21 00:00:00,162,203,0.371422337,0.443452708,137.5365854,164.0609756,0.543069508,0.514353531
2025-07-22 00:00:00,113,111,0.4219514,0.444756747,494.1904762,349.1904762,0.60167706,0.570072291
2025-07-23 00:00:00,227,229,0.474678396,0.476449179,227.8686869,102.0918367,0.57931197,0.591854373
2025-07-24 00:00:00,88,98,0.444826873,0.516441765,619.8684211,486.8421053,0.545014761,0.564008119
2025-07-25 00:00:00,141,132,0.458948728,0.48291885,227.968254,66.3015873,0.56005166,0.593374707
2025-07-28 00:00:00,50,48,0.291540982,0.466282181,1042.8,1113.7,0.522583317,0.530668149
2025-07-29 00:00:00,20,17,0.352243539,0.517480768,1520.888889,851.875,0.676160088,0.54162009
2025-07-30 00:00:00,64,50,0.411646867,0.497849344,435.6086957,84.54545455,0.552703459,0.584064589
2025-07-31 00:00:00,97,93,0.34596382,0.457061289,89.15384615,50.76923077,0.536488796,0.590442989
2025-08-01 00:00:00,42,36,0.435979929,0.582928397,413.2631579,544.8947368,0.574046005,0.6569218
2025-08-04 00:00:00,33,42,0.284026556,0.474159539,304.6666667,597,0.421345571,0.505996916
2025-08-05 00:00:00,24,37,0.400166442,0.5159146,409.25,642.9166667,0.570241632,0.579147985
2025-08-06 00:00:00,26,35,0.32994414,0.524942831,580.1666667,1462.083333,0.595360392,0.596144764
2025-08-07 00:00:00,45,43,0.38936497,0.466655422,150.047619,46.33333333,0.501540873,0.60079114
2025-08-08 00:00:00,19,34,0.416053528,0.510080959,641.7272727,289.6363636,0.481688852,0.518882664
2025-08-11 00:00:00,56,49,0.350678304,0.504094873,205.2857143,698.5909091,0.554832678,0.561970037
2025-08-12 00:00:00,22,25,0.496926476,0.562799921,183.25,811.9090909,0.683640178,0.616934577
2025-08-13 00:00:00,53,63,0.456149959,0.362775233,677.8076923,40,0.58939453,0.532571931
2025-08-14 00:00:00,87,91,0.402594556,0.41635273,374.8372093,82.57142857,0.54402079,0.505844332
2025-08-15 00:00:00,18,25,0.366648014,0.392337614,163.25,91.25,0.532616475,0.448984265
2025-08-18 00:00:00,73,69,0.420823862,0.427498398,199.1428571,56.31428571,0.579024911,0.538305946
2025-08-19 00:00:00,47,56,0.513696629,0.474749485,320.3846154,485.9615385,0.543475346,0.51875827
2025-08-20 00:00:00,112,136,0.444084105,0.491713211,199.3461538,189.0769231,0.581661882,0.587193751
2025-08-21 00:00:00,51,61,0.394889556,0.453454591,199.3846154,51.92307692,0.574680957,0.614417842
2025-08-22 00:00:00,113,128,0.38163763,0.456557559,125.3148148,354.1851852,0.468938736,0.510086939
2025-08-23 00:00:00,98,83,0.39470952,0.443716454,332.8285714,452.5,0.572083032,0.56840146
2025-08-24 00:00:00,98,97,0.403856827,0.473574708,426.6808511,125.0208333,0.591803872,0.582512897
2025-08-26 00:00:00,24,21,0.328091641,0.40216314,35.85714286,430.5,0.449163904,0.574004925
2025-08-27 00:00:00,115,96,0.406043217,0.492132451,402.9183673,442.3333333,0.510796561,0.538734361
2025-08-28 00:00:00,80,87,0.494277038,0.50012546,516.8333333,378.4857143,0.595040967,0.570941887
2025-08-29 00:00:00,47,41,0.382532342,0.447147431,529.1875,197.1176471,0.563886039,0.438380795
2025-08-30 00:00:00,62,55,0.407159597,0.375248776,628.7368421,171.4,0.555999627,0.545975964
2025-08-31 00:00:00,100,83,0.438404947,0.518826291,662.5116279,89.09302326,0.524979372,0.577384622
2025-09-01 00:00:00,112,113,0.455783333,0.541052227,466.6170213,173.8695652,0.579613435,0.618452996
2025-09-02 00:00:00,117,85,0.449923177,0.603883626,312.877551,483.1836735,0.520107135,0.640155855
2025-09-03 00:00:00,201,147,0.361903511,0.461272307,160.4166667,146.915493,0.52804264,0.595208277
2025-09-04 00:00:00,251,223,0.395028069,0.509235845,180.3495146,90.17307692,0.522530096,0.578602428
2025-09-05 00:00:00,166,133,0.407609442,0.563839396,327.859375,126.3846154,0.524764827,0.63116296
2025-09-06 00:00:00,187,180,0.375087126,0.502865302,123.0123457,86.97530864,0.533625334,0.573433818
2025-09-07 00:00:00,129,119,0.347286887,0.476697674,284.8,53.36666667,0.515552308,0.579748343
2025-09-08 00:00:00,144,126,0.429413276,0.529569477,253.9393939,181.969697,0.501367391,0.602276997
2025-09-09 00:00:00,319,277,0.401693927,0.459992679,155.9323308,96.78358209,0.533136307,0.585026437
2025-09-10 00:00:00,161,136,0.451589551,0.395974054,292.028169,152.915493,0.585982085,0.586167555
2025-09-11 00:00:00,225,265,0.404590374,0.449842256,123.2589286,85.26785714,0.510835394,0.545614306
2025-09-12 00:00:00,99,57,0.358287926,0.517191696,290.8,566.3666667,0.541071843,0.599267608
2025-09-13 00:00:00,225,207,0.40356384,0.511158668,247.3908046,179.6162791,0.549171373,0.599410723
2025-09-14 00:00:00,281,236,0.459368809,0.516891264,209.6612903,88.89516129,0.573296615,0.602343474
2025-09-15 00:00:00,160,120,0.446075986,0.456471258,381.2931034,150.0689655,0.586979106,0.560015203
2025-09-16 00:00:00,132,120,0.430242169,0.420107038,148.5357143,180.4285714,0.538815618,0.546894786
2025-09-17 00:00:00,180,133,0.490140882,0.507208024,183.1176471,115.0142857,0.588074696,0.584175065
2025-09-18 00:00:00,176,141,0.457863282,0.453427652,208.2352941,16.94117647,0.558277264,0.575563075
2025-09-19 00:00:00,102,67,0.467407646,0.449674165,748.9722222,87.80555556,0.568217421,0.552890763
2025-09-20 00:00:00,60,43,0.440786603,0.535839256,108.5217391,525.6086957,0.578458826,0.524740651
